Algorithms,LUIMiner,HUIMinerMod
foodmart,167.11,9.253
foodmart,159.292,8.815
foodmart,165.303,8.827
foodmart,170.409,9.177
foodmart,167.838,9.738
foodmart,164.411,9.469
BMS,15.962,86400
BMS,28.098,86400
BMS,25.8,86400
BMS,27.758,86400
BMS,22.849,86400
BMS,21.763,86400
mushroom,139.716,6188.839
mushroom,168.979,5356.472
mushroom,176.041,5230.892
mushroom,208.408,5290.066
mushroom,259.518,5212.051
mushroom,329.98,5241.948
chess,103.263,86400
chess,253.096,86400
chess,556.245,86400
chess,1163.056,86400
chess,2541.615,86400
chess,5582.959,86400
retail,6854.736,86400
retail,8711.74,86400
retail,10934.854,86400
retail,12724.913,86400
retail,13972.664,86400
retail,18160.982,86400
ecommerce,244.07,86400
ecommerce,267.38,86400
ecommerce,314.664,86400
ecommerce,377.862,86400
ecommerce,425.951,86400
ecommerce,528.765,86400
